UEN,ONLINE_PRESENCE_IND,CORPORATE_URL_IND,ECOM_REV,ECOM_REV_IND,TRUE_IE
200007340G,1.0,1.0,0.0,0.0,B
200007382Z,1.0,1.0,0.0,0.0,B
200008493N,1.0,1.0,0.0,0.0,B
200009228G,1.0,1.0,0.0,0.0,B
200009293C,1.0,1.0,1000000.0,1.0,C
200009481R,1.0,1.0,0.0,0.0,B
200010196K,1.0,1.0,10000.0,1.0,C
200010398C,1.0,1.0,0.0,0.0,B
200010460K,1.0,1.0,89000.0,1.0,C
200010500H,1.0,1.0,0.0,0.0,B
200100254W,1.0,1.0,22434.0,1.0,C
200100317N,1.0,1.0,0.0,0.0,B
200100390Z,1.0,1.0,0.0,0.0,B
200100395N,1.0,1.0,0.0,0.0,B
200100474M,1.0,1.0,0.0,0.0,B
200100542G,1.0,0.0,650000.0,1.0,C
200100683D,1.0,1.0,0.0,0.0,B
200100934N,1.0,1.0,0.0,0.0,B
200100973N,1.0,1.0,0.0,0.0,B
200101440G,1.0,1.0,0.0,0.0,B
200101606K,1.0,1.0,0.0,0.0,B
200101935C,1.0,1.0,2000.0,1.0,C
200102171H,1.0,1.0,0.0,0.0,B
200102292Z,1.0,1.0,0.0,0.0,B
200102490G,1.0,1.0,0.0,0.0,B
200102574Z,1.0,1.0,0.0,0.0,B
200102787N,1.0,1.0,0.0,0.0,B
200102907C,1.0,1.0,0.0,0.0,B
200104540K,1.0,1.0,0.0,0.0,B
200105053Z,1.0,1.0,0.0,0.0,B
200105494Z,1.0,1.0,0.0,0.0,B
200105710W,1.0,1.0,0.0,0.0,B
200105816W,1.0,1.0,0.0,0.0,B
200105913Z,1.0,1.0,0.0,0.0,B
200106194M,1.0,1.0,0.0,0.0,B
200106276D,1.0,1.0,10000.0,1.0,C
200106467K,1.0,1.0,10642.0,1.0,C
200106822D,1.0,1.0,1500.0,1.0,C
200107362W,1.0,1.0,0.0,0.0,B
200107549W,1.0,1.0,0.0,0.0,B
200107832M,1.0,0.0,0.0,0.0,B
200107882R,1.0,1.0,10000.0,1.0,C
200200350M,1.0,1.0,0.0,0.0,B
200200988E,1.0,1.0,0.0,0.0,B
200201132R,1.0,1.0,2000.0,1.0,C
200201620N,1.0,0.0,100000.0,1.0,C
200201798E,1.0,1.0,11889.0,1.0,C
200202075C,1.0,0.0,160000.0,1.0,C
200202548H,1.0,1.0,1800000.0,1.0,C
200202769N,1.0,1.0,0.0,0.0,B
200202889N,1.0,1.0,2791694.0,1.0,C
200203420W,1.0,1.0,0.0,0.0,B
200203920K,1.0,1.0,0.0,0.0,B
200203968H,1.0,1.0,0.0,0.0,B
200203984K,1.0,1.0,0.0,0.0,B
200204011N,1.0,1.0,0.0,0.0,B
200204075N,1.0,1.0,0.0,0.0,B
200204214R,1.0,1.0,0.0,0.0,B
200204810Z,1.0,1.0,0.0,0.0,B
200204909Z,1.0,1.0,0.0,0.0,B
200205026W,1.0,1.0,35000000.0,1.0,C
200206044W,1.0,1.0,0.0,0.0,B
200206385D,1.0,1.0,20000.0,1.0,C
200206434D,1.0,0.0,0.0,0.0,B
200206593D,1.0,1.0,0.0,0.0,B
200207414N,1.0,1.0,120.0,1.0,C
200207586Z,1.0,1.0,0.0,0.0,B
200207590G,1.0,1.0,1000.0,1.0,C
200207735N,1.0,1.0,0.0,0.0,B
200207969E,1.0,1.0,0.0,0.0,B
200207994H,1.0,1.0,10000.0,1.0,C
200208205Z,1.0,1.0,8150.0,1.0,C
200208754E,1.0,1.0,240000.0,1.0,C
200208843R,1.0,1.0,30000.0,1.0,C
200208890G,1.0,1.0,0.0,0.0,B
200208952M,1.0,1.0,65550.0,1.0,C
200209292W,1.0,1.0,1000.0,1.0,C
200209295K,1.0,1.0,0.0,0.0,B
200210406G,1.0,1.0,0.0,0.0,B
200210475E,1.0,1.0,0.0,0.0,B
200300061R,1.0,1.0,0.0,0.0,B
200300140N,1.0,0.0,18800.0,1.0,C
200300407D,1.0,1.0,0.0,0.0,B
200300816D,1.0,1.0,800000.0,1.0,C
200301505M,1.0,1.0,25.0,1.0,C
200301512M,1.0,1.0,12000.0,1.0,C
200301560N,1.0,0.0,0.0,0.0,B
200301594R,1.0,1.0,0.0,0.0,B
200301993D,1.0,1.0,5000.0,1.0,C
200302655G,1.0,1.0,0.0,0.0,B
200303076M,1.0,1.0,0.0,0.0,B
200303895D,1.0,1.0,0.0,0.0,B
200304100H,1.0,1.0,0.0,0.0,B
200304879W,1.0,1.0,300.0,1.0,C
200305530C,1.0,1.0,0.0,0.0,B
200306695D,1.0,1.0,0.0,0.0,B
200306724W,1.0,1.0,0.0,0.0,B
200306971W,1.0,1.0,1.0,1.0,C
200307044W,1.0,1.0,55000.0,1.0,C
200307467N,1.0,1.0,0.0,0.0,B
200307677R,1.0,1.0,0.0,0.0,B
200308503E,1.0,1.0,0.0,0.0,B
